,起始學校,目標學校,距離,時間
0,台灣大學,政治大學,7.3 km,15 mins
1,台北大學,成功大學,281 km,3 hours 4 mins
2,交通大學,清華大學,2.3 km,7 mins
3,交通大學,政治大學,86.1 km,1 hour 8 mins
4,台灣大學,中山大學,355 km,4 hours 1 min
5,中央大學,政治大學,54.2 km,50 mins
6,高雄醫學大學,台北醫學大學,351 km,3 hours 48 mins
7,台灣科技大學,雲林科技大學,225 km,2 hours 28 mins
